exp_id	model_family	model_path	task	reward_type	power_k	power_ll_min	rm_mode	kl	lr	max_prompt	max_resp	data_name	cot_var	run_name_base
interaction-Q3_D1_diplomacy	qwen2.5	Qwen/Qwen2.5-3B-Instruct					frozen	=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_diplomacy	COT_FREEFORM	interaction-Q3_D1_diplomacy-dcfg_diplomacy
interaction-Q3_D1_p4g	qwen2.5	Qwen/Qwen2.5-3B-Instruct					frozen	=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_p4g	COT_FREEFORM	interaction-Q3_D1_p4g-dcfg_p4g
interaction-Q3_D2_long	qwen2.5	Qwen/Qwen2.5-3B-Instruct					frozen	=stable(Pm1)	=stable(Pm1)	8192	512	dcfg_default_long	COT_FREEFORM	interaction-Q3_D2_long-dcfg_default_long
interaction-Q3_D2_short	qwen2.5	Qwen/Qwen2.5-3B-Instruct					frozen	=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_default_short	COT_FREEFORM	interaction-Q3_D2_short-dcfg_default_short
interaction-Q3_D3_curr_early2late	qwen2.5	Qwen/Qwen2.5-3B-Instruct					frozen	=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_default(=P0)	COT_FREEFORM	interaction-Q3_D3_curr_early2late-dcfg_default(=P0)
interaction-Q3_D3_curr_late2early	qwen2.5	Qwen/Qwen2.5-3B-Instruct					frozen	=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_default(=P0)	COT_FREEFORM	interaction-Q3_D3_curr_late2early-dcfg_default(=P0)
interaction-Q3_D3_curr_random	qwen2.5	Qwen/Qwen2.5-3B-Instruct					frozen	=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_default(=P0)	COT_FREEFORM	interaction-Q3_D3_curr_random-dcfg_default(=P0)
interaction-Q3_D4_surprise	qwen2.5	Qwen/Qwen2.5-3B-Instruct					frozen	=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_default_surprise	COT_FREEFORM	interaction-Q3_D4_surprise-dcfg_default_surprise
interaction-Q3_D4_randlen	qwen2.5	Qwen/Qwen2.5-3B-Instruct					frozen	=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_default_randlen	COT_FREEFORM	interaction-Q3_D4_randlen-dcfg_default_randlen
interaction-Q3_D5_scale_1k	qwen2.5	Qwen/Qwen2.5-3B-Instruct					frozen	=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_default_1k	COT_FREEFORM	interaction-Q3_D5_scale_1k-dcfg_default_1k
