exp_id,run,log,model,reward,power_k,ll_min,lr,kl,ec,fp,baseline,rm_mode,n_iters,first_step,last_step,n_tom,hm_step0,hm_last3,hm_last5,hm_best,d_hm,hm_late_std,avg_step0,avg_last3,d_avg,gsm8k_step0,gsm8k_last3,d_gsm8k,mmlu_step0,mmlu_last3,d_mmlu,eval_parseable,eval_correct,eval_correct_step0,kl_final,kl_max,resp_len_final,resp_len_min,reward_final
Phase-stability-Pm1swp_rmf_kl0.05_lr5e-7_fp5_ec0.0_lp,Phase-stability-Pm1swp_rmf_kl0.05_lr5e-7_fp5_ec0.0_lp-dcfg_smoke_mix,logs/20260711/Phase-stability-Pm1swp_rmf_kl0.05_lr5e-7_fp5_ec0.0_lp-dcfg_smoke_mix-Qwen2.5-3B-Instruct-frozenRM-nobaseline-log_prob-k2.0-llmin-8.0-lr5e-7-kl0.05-n16-r1.log,Qwen2.5,log_prob,2.0,8.0,5e-7,0.05,0.0,5.0,False,frozen,20,0,190,24,0.4154,0.4317,0.4337,0.4729,0.0163,0.0037,0.5026,0.4956,-0.007,0.663,0.5633,-0.0997,0.467,0.6253,0.1583,0.474,0.474,0.5,0.337,0.407,122.4,40.8,-2.389
Phase-stability-Pm1swp_rmf_kl0.05_lr5e-7_fp5_ec0.001_lp,Phase-stability-Pm1swp_rmf_kl0.05_lr5e-7_fp5_ec0.001_lp-dcfg_smoke_mix,logs/20260711/Phase-stability-Pm1swp_rmf_kl0.05_lr5e-7_fp5_ec0.001_lp-dcfg_smoke_mix-Qwen2.5-3B-Instruct-frozenRM-nobaseline-log_prob-k2.0-llmin-8.0-lr5e-7-kl0.05-n16-r1.log,Qwen2.5,log_prob,2.0,8.0,5e-7,0.05,0.001,5.0,False,frozen,20,0,190,24,0.4183,0.4241,0.4247,0.4639,0.0058,0.0026,0.5032,0.485,-0.0182,0.663,0.5333,-0.1297,0.46,0.6157,0.1557,0.513,0.513,0.423,0.315,0.436,126.6,40.2,-2.648
Phase-stability-Pm1swp_rmf_kl0.05_lr1e-6_fp0_ec0.0_lp,Phase-stability-Pm1swp_rmf_kl0.05_lr1e-6_fp0_ec0.0_lp-dcfg_smoke_mix,logs/20260711/Phase-stability-Pm1swp_rmf_kl0.05_lr1e-6_fp0_ec0.0_lp-dcfg_smoke_mix-Qwen2.5-3B-Instruct-frozenRM-nobaseline-log_prob-k2.0-llmin-8.0-lr1e-6-kl0.05-n16-r1.log,Qwen2.5,log_prob,2.0,8.0,1e-6,0.05,0.0,0.0,False,frozen,20,0,190,24,0.4179,0.4331,0.4356,0.4569,0.0152,0.0036,0.5038,0.4949,-0.0089,0.663,0.461,-0.202,0.467,0.572,0.105,0.538,0.538,0.5,0.315,0.413,125.5,45.9,-4.637
Phase-stability-Pm1swp_rmf_kl0.05_lr1e-6_fp0_ec0.001_lp,Phase-stability-Pm1swp_rmf_kl0.05_lr1e-6_fp0_ec0.001_lp-dcfg_smoke_mix,logs/20260711/Phase-stability-Pm1swp_rmf_kl0.05_lr1e-6_fp0_ec0.001_lp-dcfg_smoke_mix-Qwen2.5-3B-Instruct-frozenRM-nobaseline-log_prob-k2.0-llmin-8.0-lr1e-6-kl0.05-n16-r1.log,Qwen2.5,log_prob,2.0,8.0,1e-6,0.05,0.001,0.0,False,frozen,20,0,190,24,0.4167,0.4245,0.4284,0.4606,0.0078,0.0083,0.5027,0.4857,-0.0169,0.657,0.4523,-0.2047,0.477,0.5723,0.0953,0.59,0.59,0.577,0.327,0.506,112.0,39.9,-4.831
Phase-stability-Pm1swp_rmf_kl0.05_lr1e-6_fp5_ec0.0_lp,Phase-stability-Pm1swp_rmf_kl0.05_lr1e-6_fp5_ec0.0_lp-dcfg_smoke_mix,logs/20260711/Phase-stability-Pm1swp_rmf_kl0.05_lr1e-6_fp5_ec0.0_lp-dcfg_smoke_mix-Qwen2.5-3B-Instruct-frozenRM-nobaseline-log_prob-k2.0-llmin-8.0-lr1e-6-kl0.05-n16-r1.log,Qwen2.5,log_prob,2.0,8.0,1e-6,0.05,0.0,5.0,False,frozen,20,0,190,24,0.4195,0.4285,0.4318,0.4601,0.009,0.0046,0.502,0.4937,-0.0082,0.657,0.4757,-0.1813,0.467,0.6057,0.1387,0.513,0.513,0.538,0.346,0.438,110.2,35.6,-7.484
Phase-stability-Pm1swp_rmf_kl0.05_lr1e-6_fp5_ec0.001_lp,Phase-stability-Pm1swp_rmf_kl0.05_lr1e-6_fp5_ec0.001_lp-dcfg_smoke_mix,logs/20260711/Phase-stability-Pm1swp_rmf_kl0.05_lr1e-6_fp5_ec0.001_lp-dcfg_smoke_mix-Qwen2.5-3B-Instruct-frozenRM-nobaseline-log_prob-k2.0-llmin-8.0-lr1e-6-kl0.05-n16-r1.log,Qwen2.5,log_prob,2.0,8.0,1e-6,0.05,0.001,5.0,False,frozen,20,0,190,24,0.4173,0.4189,0.4224,0.4615,0.0016,0.0075,0.5031,0.4853,-0.0177,0.66,0.361,-0.299,0.47,0.597,0.127,0.474,0.474,0.385,0.313,0.452,128.3,43.4,-10.018
Phase-stability-Pm1swp_rma_kl0.01_lr5e-7_fp0_ec0.0_lp,Phase-stability-Pm1swp_rma_kl0.01_lr5e-7_fp0_ec0.0_lp-dcfg_smoke_mix,logs/20260711/Phase-stability-Pm1swp_rma_kl0.01_lr5e-7_fp0_ec0.0_lp-dcfg_smoke_mix-Qwen2.5-3B-Instruct-actorRM-nobaseline-log_prob-k2.0-llmin-8.0-lr5e-7-kl0.01-n16-r1.log,Qwen2.5,log_prob,2.0,8.0,5e-7,0.01,0.0,0.0,False,actor,20,0,190,24,0.4174,0.3966,0.4023,0.4596,-0.0209,0.011,0.5029,0.4651,-0.0379,0.663,0.3653,-0.2977,0.477,0.5843,0.1073,0.423,0.423,0.538,1.027,1.208,57.2,41.3,-6.906
Phase-stability-Pm1swp_rma_kl0.01_lr5e-7_fp0_ec0.001_lp,Phase-stability-Pm1swp_rma_kl0.01_lr5e-7_fp0_ec0.001_lp-dcfg_smoke_mix,logs/20260711/Phase-stability-Pm1swp_rma_kl0.01_lr5e-7_fp0_ec0.001_lp-dcfg_smoke_mix-Qwen2.5-3B-Instruct-actorRM-nobaseline-log_prob-k2.0-llmin-8.0-lr5e-7-kl0.01-n16-r1.log,Qwen2.5,log_prob,2.0,8.0,5e-7,0.01,0.001,0.0,False,actor,20,0,190,24,0.4166,0.242,0.2738,0.4668,-0.1747,0.0364,0.503,0.3728,-0.1302,0.653,0.2947,-0.3583,0.48,0.5743,0.0943,0.397,0.397,0.615,0.657,1.091,96.2,43.8,-4.708
Phase-stability-Pm1swp_rma_kl0.01_lr5e-7_fp5_ec0.0_lp,Phase-stability-Pm1swp_rma_kl0.01_lr5e-7_fp5_ec0.0_lp-dcfg_smoke_mix,logs/20260711/Phase-stability-Pm1swp_rma_kl0.01_lr5e-7_fp5_ec0.0_lp-dcfg_smoke_mix-Qwen2.5-3B-Instruct-actorRM-nobaseline-log_prob-k2.0-llmin-8.0-lr5e-7-kl0.01-n16-r1.log,Qwen2.5,log_prob,2.0,8.0,5e-7,0.01,0.0,5.0,False,actor,20,0,190,24,0.4186,0.4047,0.395,0.4635,-0.0139,0.0158,0.5037,0.4804,-0.0233,0.66,0.3723,-0.2877,0.47,0.5857,0.1157,0.462,0.462,0.538,0.575,1.157,107.5,41.7,-4.634
Phase-stability-Pm1swp_rma_kl0.01_lr5e-7_fp5_ec0.001_lp,Phase-stability-Pm1swp_rma_kl0.01_lr5e-7_fp5_ec0.001_lp-dcfg_smoke_mix,logs/20260711/Phase-stability-Pm1swp_rma_kl0.01_lr5e-7_fp5_ec0.001_lp-dcfg_smoke_mix-Qwen2.5-3B-Instruct-actorRM-nobaseline-log_prob-k2.0-llmin-8.0-lr5e-7-kl0.01-n16-r1.log,Qwen2.5,log_prob,2.0,8.0,5e-7,0.01,0.001,5.0,False,actor,20,0,190,24,0.4181,0.3288,0.3373,0.4664,-0.0893,0.0149,0.5029,0.411,-0.0919,0.667,0.4367,-0.2303,0.48,0.541,0.061,0.436,0.436,0.5,0.842,1.03,98.9,38.7,-7.417
