
===== Qwen2.5: top 20 by dHM (HM last3 - step0) =====
 -0.009  -0.009  0.157  0.147  0.010 0.244  0.011    0.60   0.00  433.8  Phase-stability-Pm1w2qwen3_rma_kl0.05_lr5e-7_fp0_ec0
 -0.010  -0.009  0.161  0.150  0.005 0.256  0.002    0.54   0.00  433.8  Phase-stability-Pm1w2qwen3_rmf_kl0.05_lr5e-7_fp5_ec0
 -0.014   0.003  0.161  0.147  0.012 0.308  0.009   -3.54   0.00  425.4  Phase-stability-Pm1w2qwen3_rmf_kl0.05_lr5e-7_fp0_ec0
 -0.015  -0.011  0.162  0.146  0.007 0.256  0.006   -0.08   0.00  432.4  Phase-stability-Pm1w2qwen3_rmf_kl0.05_lr5e-7_fp0_ec0

===== Gemma-2: top 20 by dHM (HM last3 - step0) =====
    dHM    dAvg    hm0    hm3    std ecorr   dgsm  reward   kl_f rl_min  run
  0.344   0.192  0.085  0.430  0.007 0.513  0.153   15.66   9.85    1.5  Phase-stability-Pm1w2gemma2_rma_kl0.05_lr5e-7_fp0_ec
  0.133   0.104  0.093  0.226  0.025 0.397  0.090   -1.25   0.10   64.6  Phase-stability-Pm1w2gemma2_rmf_kl0.05_lr5e-7_fp0_ec
  0.116   0.081  0.093  0.209  0.020 0.385  0.096   -1.41   0.03   61.9  Phase-stability-Pm1w2gemma2_rma_kl0.05_lr5e-7_fp5_ec
  0.101   0.100  0.093  0.194  0.044 0.423  0.251    6.24   0.58   10.3  Phase-stability-Pm1w2gemma2_rma_kl0.05_lr5e-7_fp5_ec
  0.089   0.064  0.085  0.174  0.051 0.397  0.195   14.55   1.84   21.4  Phase-stability-Pm1w2gemma2_rma_kl0.05_lr5e-7_fp0_ec
  0.082   0.088  0.093  0.175  0.027 0.308  0.207   14.81   3.39   19.4  Phase-stability-Pm1w2gemma2_rma_kl0.05_lr5e-7_fp0_ec
  0.080   0.076  0.093  0.172  0.039 0.449  0.055   -1.39   0.04   65.0  Phase-stability-Pm1w2gemma2_rma_kl0.05_lr5e-7_fp5_ec
  0.075   0.097  0.093  0.168  0.025 0.513  0.056   -5.57   0.08   84.0  Phase-stability-Pm1w2gemma2_rmf_kl0.05_lr5e-7_fp5_ec
  0.062   0.049  0.093  0.155  0.022 0.359  0.216   16.79   0.55   27.6  Phase-stability-Pm1w2gemma2_rma_kl0.05_lr5e-7_fp0_ec
  0.055   0.086  0.093  0.148  0.043 0.449  0.083    0.00   0.06   69.1  Phase-stability-Pm1w2gemma2_rmf_kl0.05_lr5e-7_fp0_ec
  0.044   0.091  0.093  0.137  0.051 0.462  0.047    0.00   0.10   64.8  Phase-stability-Pm1w2gemma2_rma_kl0.05_lr5e-7_fp0_ec
  0.020   0.044  0.093  0.113  0.018 0.359  0.043   -3.74   4.29   61.2  Phase-stability-Pm1w2gemma2_rma_kl0.05_lr5e-7_fp0_ec
 -0.003   0.032  0.093  0.090  0.018 0.436  0.023  -85.00   0.00  122.9  Phase-stability-Pm1w2gemma2_rma_kl0.05_lr1e-6_fp5_ec
 -0.003   0.054  0.093  0.090  0.027 0.346  0.057   -1.40   0.02   69.0  Phase-stability-Pm1w2gemma2_rmf_kl0.05_lr5e-7_fp5_ec
 -0.004   0.048  0.093  0.089  0.008 0.346  0.040   -2.81   0.03   77.6  Phase-stability-Pm1w2gemma2_rmf_kl0.05_lr5e-7_fp5_ec
 -0.018   0.030  0.093  0.075  0.016 0.436  0.057   -1.41   0.04   89.8  Phase-stability-Pm1w2gemma2_rmf_kl0.05_lr5e-7_fp5_ec
 -0.020   0.051  0.093  0.073  0.019 0.359  0.065   -2.78   2.76   68.3  Phase-stability-Pm1w2gemma2_rma_kl0.05_lr5e-7_fp5_ec
 -0.025   0.037  0.093  0.068  0.020 0.385  0.066   -1.22   0.04   69.1  Phase-stability-Pm1w2gemma2_rmf_kl0.05_lr5e-7_fp0_ec
 -0.025   0.045  0.093  0.067  0.018 0.385  0.063    0.01   0.06   81.2  Phase-stability-Pm1w2gemma2_rmf_kl0.05_lr5e-7_fp0_ec
 -0.026   0.010  0.093  0.067  0.008 0.333  0.015  -80.00   0.00  128.8  Phase-stability-Pm1w2gemma2_rma_kl0.05_lr1e-6_fp0_ec
